Character Name,Type,Player Name,Role,Race,Gender,Division,Rank,Control,Fitness,Presence,Daring,Insight,Reason,Com,Sec,Science,Conn,Eng,Med,Species Ability,Focus 1,Focus 2,Focus 3,Focus 4,Focus 5,Focus 6,Focus 7,Focus 8,Traits etc.,Talent 1,Talent 2,Talent 3,Talent 4,Talent 5,Value 1,Value 2,Value 3,Value 4,Reputation,Environment,Traits,Upbringing,Weapon 1,Weapon 2,Weapon 3,Equipment 1,Equipment 2,Equipment 3,Equipment 4
Malax,Main,Eike,Commanding Officer,Denobulan,Male,Command,Captain,9,8,12,7,11,9,5,2,2,2,1,4,Kulturelle Anpassungsfähigkeit,Überzeugen,Inspiration,Sternenflottenprotokolle,Oberste Direktive,Philosophie,Kulturwissenschaften,Recherche,Gechichte (Erde 19. & 20. JH),"Bajoran, Veteran",Expertenfokus (Überzeugen),Cold Reading,Beruhigend,Denobulaner,Vielseitiges Studium,"Auf der Suche nach mir selbst, fern der Heimat",Die Crew ist Teil meiner Familie,"Erkundung ist das Herzblut, welches mich durchströmt",In der Ruhe liegt die Kraft,3,,,,,,,,,,
Yorin Jaela,Main,Tina,"Chief of Operations, Science Officer",Bajoran,Female,Operations,Commander,12,8,10,9,8,9,3,3,5,1,2,2,The Will of the Prophets,Composure,Genetics,Technical Expertise,Electro-Plasma Power Systems,Sensor Operations,Team Dynamics,,,,Cautious (Science),Dedicated Focus Sensor Operations,Cool Under Pressure,Multi-Discipline,,Valor in the face of impossible odds,"Never pass up an opportunity, you'll never know where it'll take you",A smooth sea never made a skilled sailor,Complacency is for old people,4,,,,,,,,,,
T'Muk,Main,Katja,Chief Engineer,Klingon,Male,Engineering,Commander,12,10,8,9,8,9,4,1,3,2,5,1,Brak'lul,Improvisation,Maintenance Specialist,Emergency Repais,Reporting Procedures,Tarnvorrichtungen,Warp Core Mechanics,,,,Technik Experte,Warrior Spirit,Ich kenne mein Schiff,Maintenance Specialist,,Seeking to find mysel far from home,I finish what i start,We are all connected despite being worlds apart,I can make something from nothing,3,,,,,,,,,,
Dr. T'Laar,Main,Silke,Chief Medical Officer,Vulcan,Female,Sciences,Commander ,10,8,10,8,10,10,3,1,3,2,2,5,Nervengriff,Diplomatie,Notfallmedizin,Psychologie,Replikatoren & Transporter,Infiltration,Ansteckende Krankheiten,,,,Zusammenarbeit (Medizin),Ersthelfer,Befehl des Doctors,Vulkaniner (Nervengriff),,UMUK,Das Wohl der Vielen überwiegt derer Weniger ode Einzelnen,"Mein Schiff, meine Familie",Verstehen ist der Sinn des Lebens,4,,,,,,,,,,
Mendox,Main,Kerstin,Chief of Security,Denobulan,Male,Security,Lieutenant,11,12,7,9,9,8,2,5,1,4,1,3,Breadth of Study (p105),First Aid,Survival,Ground Vehicles,Hand Phaser,Shipboard Tactical Systems,Mok'bara,Helm operations,EVA Specialist,"Denobulan, Survivor of Frontier Day",Bold: Security,Applied Force,Steady Hands,Precision Targeting,Breadth of Study,Preparedness is key,Comfort in numbers,Fly it like you stole it,I have a secret,3,,,,,,,,,,
Vrok zh'Daar,Support,Eike*,Security Officer,Tellarite,Male,Operations,Lieutenant JG,10,10,8,10,8,8,3,4,1,2,1,2,Sturdy (p111),Shipboard Tactical Systems,Environmental Tactics,Shield systems,,,,,,,,,,,,,,,,3,,,,Unarmed Strike,Phaser Type-2,,Uniform,Communicator,Tricorder,Starfleet Standard Med-Kit
Dr. Zenn'dikaar Iral,Support,Tina*,Medical Officer,Betazoid,Male,Sciences,Lieutenant,10,8,10,7,10,9,2,1,2,3,1,4,Telepathic (p155),Neurosurgery,Birth control,Post-natal care,Psychoanalysis,Telepathic Counseling,De-escalation Techniques,,,,Quick Study,Back-up Plans,Positive Reinforcement,Psychoanalyst,,Value life above everything else,A happy crew is a productive crew,Assume friend rather than enemy at first sight,You'll only learn if you leave your comfort zone,3,,,,Unarmed Strike,Phaser Type-2,,Uniform,Communicator,Tricorder,
Zhara ch'Thari,Support,Katja*,Operations Officer,Andorian,Female,Operations,Ensign,11,9,8,10,8,8,3,2,1,4,1,2,Intense (p100),Scanner optimization,Duty Rosters,Federation maintenance protocols,,,,,,,,,,,,,,,,3,,,,Unarmed Strike,Phaser Type-1,,Uniform,Communicator,Tricorder,
Dr. Ethan Carter ,Support,Silke*,Science Officer,Human,Male,Sciences,Lieutenant JG,10,8,8,8,10,10,1,3,4,2,2,1,Faith of the heart (p107),Xenobiology,Anthropology,Transporters,,,,,,,,,,,,,,,,3,,,,Unarmed Strike,Phaser Type-1,,Uniform,Communicator,Tricorder,Starfleet Standard Med-Kit
Ozyrrian 'Ozzy' th'Arilith,Support,Kerstin*,Security,Andorian,Male,Operations,CPO,10,10,8,10,8,8,1,4,1,2,2,3,Intense (p100),Handphaser,Survival,Guerillataktik,,,,,,,,,,,,,,,,,,,,,,,,,,
Marlin Vionn,Support,Tina*,Science Officer,Trill,Female,Sciences,Lieutenant,8,8,10,8,9,11,2,1,4,1,2,3,Patient,Phylogenetics,Comparative Genomics,Nanotechnology,,,,,,,,,,,,,,,,,,,,,,,,,,
Bof Salar,Holo,Eike*,Supplementary Diplomatic Hologram,Holo - Bolian,Male,Command,NA,9,7,9,8,10,8,4,3,2,1,2,1,NA,Diplomatie,Kulturwissenschaften,Kulinarik,,,,,,,Advanced Emergency Crew Hologram,,,,,,,,,,,,,,,,,,,
Anton von Rieppel,Holo,Tina*,Emergency Engineering Hologram,Holo - Mensch,Male,Engineering,NA,9,8,8,9,7,10,2,3,2,1,4,1,NA,Diagnostics,Troubleshooting,Structural Engineering,,,,,,,Advanced Emergency Crew Hologram,,,,,,,,,,,,,,,,,,,
Dr. A. Smith,Holo,Katja*,Emergency Medical Hologram,Holo - Mensch,Male,Medical,NA,10,8,7,9,8,9,1,1,3,2,2,4,NA,Emergency Medicine,Surgery,"
Xenobiology",,,,,,,,,,,,"I'm right, you're an idiot",Acerbic and ill-tempered program,,,,,,,,,,,,,
Siedlecki ,Holo,Silke*,Emergency Security Hologram,Holo- Mensch,Female,Security ,NA,8,9,8,9,10,7,1,4,2,3,2,1,NA,Handphaser,unbewaffneter Nahkampf,Recht & Gesetz,,,,,,,Allzeit bereit,,,,,,,,,,,,,,,,,,,
AyESHa,Holo,Kerstin*,Emergency Science Hologram,Holo-Mensch,Female,Sciences,Ensign,10,7,8,9,8,11,2,2,4,1,3,1,NA,Chemistry,Archeology,Subspace Theory,,,,,,,,,,,,,,,,,,,,,,,,,,
Andersson,Support,Katja*,Engineering Officer,Human,Male,Operations,Lt. JG,11,9,9,9,8,8,1,2,3,2,4,1,NA,Energy Systems,Computer Analysis,Holodeck,,,,,,,,,,,,,,,,,,,,,,,,,,
Mila,Support,Tina*,Navigator,Cardassianer,weiblich,Operations,Ensign,9,9,7,10,8,8,1,2,1,4,2,3,Healthy Suspicions,Small Craft Maneuvers,Navigation,Medical Emergencies,Guns,,,,,Cardassian,Combat Stimulants,,,,,"So wütend wie ein Klingone, so gerissen wie ein Romulaner",Ich muss um jeden Preis wieder zu meiner Familie heim kommen!,,,,,,,,,,,,,
Kael,Support,Eike*,Chief of Security,Vulkanier,männlich,Operations,Lt. JG,8,9,7,10,8,9,1,4,1,2,3,2,Mental Discipline,Sniper,Small units tactics,Martial Arts,Crowd Control,,,,,Vulcan,Well-maintained arsenal,,,,,Disziplin löst die Hälfte aller Probleme.,"Gewalt muss überzeugend brutal sein, um auch effizient zu sein.",,,,,,,,,,,,,
Brongu,Support,Katja*,Intelligence Agent,Ferengi,männlich,Wissenschaft,Ensign,10,8,8,7,9,9,2,4,3,1,2,1,The great material continuum,Demolitions,Counter Intelligence,Hacking,Black market personalities,,,,,Ferengi,Well-informed,,,,,Starfleet hat keine Ahnung vom echten Leben da draußen.,"Wenn was wertvolles rumliegen gelassen wird, vermisst es keiner.",,,,,,,,,,,,,
Parretet,Support,Silke*,Operations Manager,Tellarit,weiblich,Operations,Ensign,10,8,7,9,9,8,1,4,2,2,3,1,Sturdy,Automated weapon systems,Surveillance systems,Emergency repairs,Combat rifles,,,,,Tellarite,Tactical Countermeasures,,,,,"Wenn Du willst, das was richtig gemacht wird, mach’s selbst!",Vertraue niemandem!,,,,,,,,,,,,,